User_ID,Date,Channel,Campaign,Region,Device,User_Segment,Ad_Spend,Session_Duration_Sec,Stage_1_Visitor,Stage_2_Lead,Stage_3_MQL,Stage_4_SQL,Stage_5_Customer,Revenue,Estimated_LTV
USR-000001,2025-05-13,Google Ads,Retargeting_Q1,EMEA,Desktop,Individual,44.39,557,1,0,0,0,0,0.0,0.0
USR-000002,2025-07-09,Facebook,Brand_Awareness_2025,North America,Desktop,Enterprise,21.78,260,1,0,0,0,0,0.0,0.0
USR-000003,2025-04-29,Direct,Brand_Awareness_2025,North America,Mobile,Individual,45.91,351,1,0,0,0,0,0.0,0.0
USR-000004,2025-08-09,Facebook,Summer_Promo_Global,LATAM,Mobile,Individual,19.98,330,1,0,0,0,0,0.0,0.0
USR-000005,2025-01-30,Affiliate,Newsletter_Nurture,North America,Mobile,Individual,43.71,401,1,0,0,0,0,0.0,0.0
USR-000006,2025-05-14,Email Marketing,Brand_Awareness_2025,EMEA,Tablet,Individual,34.68,542,1,1,0,0,0,0.0,0.0
USR-000007,2025-11-28,Organic Search,Webinar_Series_Tech,LATAM,Mobile,SMB,41.67,84,1,0,0,0,0,0.0,0.0
USR-000008,2025-10-07,Direct,Summer_Promo_Global,APAC,Desktop,Individual,24.71,169,1,0,0,0,0,0.0,0.0
USR-000009,2025-02-28,Facebook,Brand_Awareness_2025,EMEA,Tablet,SMB,41.46,348,1,0,0,0,0,0.0,0.0
USR-000010,2025-05-19,Direct,Flash_Sale_Feb,EMEA,Desktop,Individual,29.75,127,1,1,0,0,0,0.0,0.0
USR-000011,2025-12-06,Facebook,Summer_Promo_Global,LATAM,Tablet,SMB,13.22,325,1,1,0,0,0,0.0,0.0
USR-000012,2025-09-13,Facebook,Retargeting_Q1,LATAM,Desktop,Enterprise,18.58,548,1,0,0,0,0,0.0,0.0
USR-000013,2025-03-10,Email Marketing,Newsletter_Nurture,North America,Tablet,SMB,33.35,439,1,0,0,0,0,0.0,0.0
USR-000014,2025-07-10,Organic Search,Newsletter_Nurture,LATAM,Desktop,Individual,41.77,21,1,0,0,0,0,0.0,0.0
USR-000015,2025-07-07,Facebook,Webinar_Series_Tech,LATAM,Desktop,Enterprise,22.6,234,1,0,0,0,0,0.0,0.0
USR-000016,2025-06-18,Email Marketing,Newsletter_Nurture,LATAM,Tablet,Enterprise,32.99,137,1,0,0,0,0,0.0,0.0
USR-000017,2025-03-24,Facebook,Retargeting_Q1,LATAM,Tablet,Enterprise,35.95,51,1,0,0,0,0,0.0,0.0
USR-000018,2025-11-23,Organic Search,Retargeting_Q1,APAC,Mobile,Individual,32.52,96,1,0,0,0,0,0.0,0.0
USR-000019,2025-04-13,Google Ads,Brand_Awareness_2025,LATAM,Desktop,Individual,33.52,115,1,0,0,0,0,0.0,0.0
USR-000020,2025-09-18,Google Ads,Webinar_Series_Tech,LATAM,Mobile,Enterprise,40.03,118,1,0,0,0,0,0.0,0.0
USR-000021,2025-02-11,Direct,Webinar_Series_Tech,LATAM,Desktop,Enterprise,17.03,504,1,0,0,0,0,0.0,0.0
USR-000022,2025-11-25,Google Ads,Brand_Awareness_2025,APAC,Tablet,SMB,33.62,28,1,0,0,0,0,0.0,0.0
USR-000023,2025-09-25,Google Ads,Brand_Awareness_2025,LATAM,Desktop,SMB,33.96,56,1,1,0,0,0,0.0,0.0
USR-000024,2025-08-01,LinkedIn,Newsletter_Nurture,LATAM,Mobile,Enterprise,21.32,526,1,0,0,0,0,0.0,0.0
USR-000025,2025-08-31,Organic Search,Retargeting_Q1,APAC,Tablet,Enterprise,21.75,193,1,0,0,0,0,0.0,0.0
USR-000026,2025-11-06,Direct,Retargeting_Q1,APAC,Desktop,SMB,25.25,55,1,0,0,0,0,0.0,0.0
USR-000027,2025-07-19,Direct,Retargeting_Q1,LATAM,Tablet,Enterprise,31.51,412,1,0,0,0,0,0.0,0.0
USR-000028,2026-01-22,Email Marketing,Webinar_Series_Tech,North America,Mobile,Enterprise,6.56,587,1,0,0,0,0,0.0,0.0
USR-000029,2025-07-29,Google Ads,Newsletter_Nurture,North America,Tablet,Individual,43.75,171,1,0,0,0,0,0.0,0.0
USR-000030,2025-01-14,Referral,Retargeting_Q1,North America,Desktop,Enterprise,34.3,379,1,0,0,0,0,0.0,0.0
USR-000031,2025-05-21,Affiliate,Flash_Sale_Feb,LATAM,Desktop,Individual,31.51,258,1,0,0,0,0,0.0,0.0
USR-000032,2025-06-05,Facebook,Summer_Promo_Global,North America,Desktop,SMB,16.34,219,1,1,0,0,0,0.0,0.0
USR-000033,2025-08-12,LinkedIn,Flash_Sale_Feb,LATAM,Desktop,Individual,35.94,512,1,0,0,0,0,0.0,0.0
USR-000034,2025-01-12,Email Marketing,Retargeting_Q1,APAC,Mobile,Individual,18.38,474,1,1,0,0,0,0.0,0.0
USR-000035,2025-02-11,LinkedIn,Flash_Sale_Feb,APAC,Desktop,Individual,22.72,366,1,1,0,0,0,0.0,0.0
USR-000036,2025-09-25,Facebook,Retargeting_Q1,LATAM,Mobile,Enterprise,47.81,137,1,0,0,0,0,0.0,0.0
USR-000037,2025-08-03,Google Ads,Retargeting_Q1,North America,Tablet,Enterprise,5.28,72,1,0,0,0,0,0.0,0.0
